"d34_mid","d34_uime","n8","address","description","latitude","longitude"
20437987,"Gasilski dom Senovo",606006,"Titova cesta 95, 8281 Senovo","","46.020818","15.4766174"
20437642,"Gasilski dom Mali Kamen",606007,"Mali Kamen 66a, 8281 Senovo","","46.0326587","15.4951496"
20437995,"Vaški sobi v strojnici Reštanj",606008,"Strojnica na Reštanju, 8281 Senovo","","46.0522675","15.4642587"
20437677,"Gasilski dom Stranje",606009,"Stranje 13, 8283 Blanca","","46.04501810000001","15.4155086"
20438002,"Lovski dom ",606010,"Brezje pri Dovškem 33, 8281 Senovo","","46.02739769999999","15.4534932"
20437910,"Pri Jožefi Macur Marconato",606011,"Dovško 10, 8281 Senovo","","46.0272454","15.4624552"
20437685,"OŠ Adama Bohoriča Brestanica",606012,"Šolska cesta 29, 8280 Brestanica","","45.9995476","15.4745885"
20438037,"Lovska koča ",606015,"Dolenji Leskovec 51A, 8280 Brestanica","","45.9964372","15.4583333"
20437707,"Pri Mirt Jožetu",606016,"Anže 12, 8280 Brestanica","","45.9917568","15.5202351"
20438215,"Ribnik (pri J. Dularju) ",606017,"Ribnik, 8280, Brestanica","","46.0048866","15.4960029"
20437715,"Večnamenski dom v Dolenji vasi ",606018,"Dolenja vas 88","","45.707606","14.7545024"
20438045,"KS Rožno Presladol",606019,"Rožno 62, 8280 Brestanica","","45.9990183","15.4301716"
20437723,"Dom krajanov Zdole",606020,,"","45.975844","15.542914"
20438053,"Pri Bogdanu Dularju",606021,"Kostanjek 20, 8272 Zdole","","46.0098032","15.541567"
20437731,"Gasilski dom na Gori",606022,,"","46.003231","14.057194"
20438061,"Gasilski dom Krško",606024," Bohoričeva ulica 14, 8270 Krško","","45.9643822","15.4841175"
20437928,"Mladinski center Krško",606025,"Cesta krških žrtev 105, 8270 Krško","","45.9520424","15.4864739"
20437758,"Dom starejših občanov Krško",606026,"Kovinarska Ulica 13, 8270 Krško","","45.9438785","15.4850222"
20438070,"Pri Vidi Radej",606027,"Sremič 37, 8270 Krško","","45.9847414","15.4888422"
20437766,"OŠ Dr. M. Rostoharja",606028,"Cesta 4. julija 33, 8270 Krško","","45.9598715","15.4914066"
20438088,"Kulturni dom Krško I",606029,"Trg Matije Gubca 2, 8270 Krško","","45.958025","15.4951213"
20438347,"Kulturni dom Krško II",606030,"Trg Matije Gubca 2, 8270 Krško","","45.958025","15.4951213"
20451718,"Kulturni dom Krško III",606031,"Trg Matije Gubca 2, 8270 Krško","","45.958025","15.4951213"
20437936,"OŠ Jurija Dalmatina Krško",606032,"Šolska ulica 1, 8270 Krško","","45.9596798","15.4941645"
20438096,"Pri Slavku Božiču ",606034,"Gornje Pijavško 30","","45.9852597","15.4170808"
20437782,"Gasilski dom na Drnovem",606035,"Drnovo 29, 8273 Leskovec pri Krškem","","45.9178162","15.4835966"
20437804,"Gasilski dom na Bregah",606036,"Brege 29, 8273 Leskovec pri Krškem","","45.919352","15.5019875"
20438100,"Mlekarna Mrtvice",606037,,"","45.659089","14.810581"
20437812,"Gasilski dom na Vihrah",606038,"Vihre 44, 8273 Leskovec pri Krškem","","45.9121373","15.52771"
20438118,"Vaška dom na Gorici",606039,"KS Veliki Podlog, 8273 Leskovec pri Krškem","","45.8985031","15.456131"
20437944,"Dvorana v Velikem Podlogu",606040,,"","45.898856","15.45285"
20437839,"Vaška soba v Gržeči vasi",606041,,"","45.905194","15.442592"
20438126,"Gasilski dom Senuše",606042,"Senuše 51, 8273 Leskovec pri Krškem","","45.9362779","15.425386"
20438240,"Gasilski dom v Leskovcu",606043,"Ulica 11. novembra 24, 8273 Leskovec pri Krškem","","45.9386781","15.4778096"
20437847,"Pri Arh Zvonetu",606044,"Selce pri Leskovcu 6, 8273 Leskovec pri Krškem.","","45.9453516","15.4522399"
20438134,"Gasilski dom v Veliki vasi",606045,"Gorenja vas pri Leskovcu 30, 8273 Leskovec pri Krškem","","45.9214658","15.4584482"
20437855,"Krajevna skupnost Raka",606046,"Raka 40, 8274 Raka","","45.928539","15.382306"
20438223,"Dom gasilcev Smednik",606047,"Valburga 44, 1216 Smlednik","","46.1677979","14.4357112"
20438142,"Prosvetna dvorana na Velikem Trnu",606048,,"","45.967006","15.394958"
20439378,"Pri Jarkovič Antonu ",606049,"Avguštine 11, 8311 Kostanjevica na Krki","","45.8368376","15.4369383"
20437863,"Pri Jernejki Gobec",606050,"Črneča vas 9","","45.8282299","15.458657"
20437871,"Gasilski dom na Prekopi",606051,"Dolnja Prekopa 21b, 8311 Kostanjevica na Krki","","45.853879","15.3812841"
20438169,"OŠ Jožeta Gorjupa",606052,"Gorjanska c. 2, 8311 Kostanjevica na Krki","","45.8435194","15.4238558"
20437880,"Pri Milanu Colariču",606053,"Orehovec 37, 8311 Kostanjevica na Krki","","45.8273444","15.4198697"
20437952,"Pri Grubar Jožetu ",606054,"Kočarija 14, 8311 Kostanjevica na Krki","","45.8280974","15.3981753"
