"id","name","address","description","lat","lon"
"603013","Gasilski dom","Dolenje Kamence 3, 8000 Novo mesto","","45.8292271","15.1545981"
"603014","UE Novo mesto","Defranceschijeva ulica 1, 8000 Novo mesto","","45.8039406","15.1647527"
"603017","Osnovna šola","Kočevarjeva ulica 40, 8000 Novo mesto","","45.8164056","15.1584399"
"603018","Vrtec","Ragovska ulica 18, 8000 Novo mesto","","45.803763","15.1762245"
"603019","Družbeni center","Seidlova cesta 28, 8000 Novo mesto","","45.8117368","15.1721995"
"603020","Gimnazija Novo mesto"," Seidlova cesta 9, 8000 Novo mesto","","45.8075907","15.163919"
"603022","Dom Krajanov KS Žabja vas","Šentjernejska cesta 10, 8000 Novo mesto","","45.8003604","15.1830124"
"603023","Osnovna šola Grm","Trdinova ulica 7, 8000 Novo mesto","","45.7990584","15.1720737"
"603024","Okrepčevalnica Gedžo","Bršljin 37, 8000 Novo mesto","","45.8143794","15.1483473"
"603025","Vrtec Žabjak","8000 Novo mesto","","45.80108240000001","15.1710089"
"603026","Mladinski dom Drganja sela","Drganja sela 3, 8351 Straža pri Novem mestu","","45.7473922","15.0916603"
"603027","Gasilski dom","Šentpeter 1, 8222 Otočec","","45.8337879","15.2197853"
"603028","Matjaževa domačija","Paha 3, 8222 Otočec","","45.8522815","15.2077711"
"603029","Kulturni dom Straža","Na žago 4, 8351 Straža pri Novem mestu","","45.78532269999999","15.0764781"
"603030","Stara osnovna šola","Prečna  8, 8000 Novo mesto","","45.813585","15.1215619"
"603031","Mladinski dom","Prapreče 22 ","","45.8368982","14.9191479"
"603032","Osnovna šola Vavta vas ","Vavta vas 1, 8351 Straža pri Novem mestu","","45.7827517","15.0816496"
"603033","Mladinski dom","Rumanja vas","","45.7782109","15.0654668"
"603034","Jakob Oblak","Potok 5, 8351 Straža pri Novem mestu","","45.7867387","15.1123294"
"603035","Gasilski dom Šmihel","Bajčeva ulica 20, 8000 Novo mesto","","45.7923419","15.1622214"
"603036","Gasilski dom","Ždinja vas 14, 8000 Novo mesto","","45.84611930000001","15.1720977"
"604001","Gasilni dom Čatež","Čatež 19, 8212 Velika Loka","","45.9680896","14.9665345"
"604002","Glivar Darko","Korita 6, 8211 Dobrnič ","","45.8640902","14.9864793"
"604003","Smolič Pavle","Dobrava 22, 8211 Dobrnič","","45.8549733","14.9676723"
"604004","Kulturni dom Dobrnič","Dobrnič 9, 8211 Dobrnič","","45.8764941","14.9783142"
"604005","OŠ Dolenja Nemška vas I. (telovadnica)","Dolenja Nemška vas 21, 8210 Trebnje","","45.9037657","15.0418325"
"604006","OŠ Dolenja Nemška vas II. (telovadnica) ","Dolenja Nemška vas 21, 8210 Trebnje","","45.9037657","15.0418325"
"604007","Novi gasilski dom Lukovek","Lukovek 52, 8210 Lukovek","","45.9030437","15.0695415"
"604008","KS Knežja vas (vaško središče) ","Dolenje selce 21, 8211 Dobrnič","","45.89992710000001","14.9345262"
"604009","Gasilni dom Ševnica","Ševnica 22, 8233 Mirna","","45.9460711","15.0293898"
"604011","Osnovna šola Mirna I.","Cesta na Fužine 1, 8233 Mirna","","45.9516469","15.0607601"
"604012","Dom Partizan Mirna","Sokolska ulica 2, 8233 Mirna","","45.9534728","15.0601416"
